00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000E0 | X=0062 Y=0060 Z=F030 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F030 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F030 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F030 | brne     $00DA
000DA | X=0062 Y=0060 Z=F030 | st       Z, r1
000DC | X=0062 Y=0060 Z=F030 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F030 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F032 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F032 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F032 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F032 | brne     $00DA
000DA | X=0062 Y=0060 Z=F032 | st       Z, r1
000DC | X=0062 Y=0060 Z=F032 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F032 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F034 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F034 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F034 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F034 | brne     $00DA
000DA | X=0062 Y=0060 Z=F034 | st       Z, r1
000DC | X=0062 Y=0060 Z=F034 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F034 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F036 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F036 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F036 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F036 | brne     $00DA
000DA | X=0062 Y=0060 Z=F036 | st       Z, r1
000DC | X=0062 Y=0060 Z=F036 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F036 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F038 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F038 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F038 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F038 | brne     $00DA
000DA | X=0062 Y=0060 Z=F038 | st       Z, r1
000DC | X=0062 Y=0060 Z=F038 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F038 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F03A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F03A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F03A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F03A | brne     $00DA
000DA | X=0062 Y=0060 Z=F03A | st       Z, r1
000DC | X=0062 Y=0060 Z=F03A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F03A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F03C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F03C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F03C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F03C | brne     $00DA
000DA | X=0062 Y=0060 Z=F03C | st       Z, r1
000DC | X=0062 Y=0060 Z=F03C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F03C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F03E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F03E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F03E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F03E | brne     $00DA
000DA | X=0062 Y=0060 Z=F03E | st       Z, r1
000DC | X=0062 Y=0060 Z=F03E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F03E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F040 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F040 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F040 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F040 | brne     $00DA
000DA | X=0062 Y=0060 Z=F040 | st       Z, r1
000DC | X=0062 Y=0060 Z=F040 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F040 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F042 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F042 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F042 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F042 | brne     $00DA
000DA | X=0062 Y=0060 Z=F042 | st       Z, r1
000DC | X=0062 Y=0060 Z=F042 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F042 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F044 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F044 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F044 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F044 | brne     $00DA
000DA | X=0062 Y=0060 Z=F044 | st       Z, r1
000DC | X=0062 Y=0060 Z=F044 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F044 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F046 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F046 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F046 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F046 | brne     $00DA
000DA | X=0062 Y=0060 Z=F046 | st       Z, r1
000DC | X=0062 Y=0060 Z=F046 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F046 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F048 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F048 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F048 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F048 | brne     $00DA
000DA | X=0062 Y=0060 Z=F048 | st       Z, r1
000DC | X=0062 Y=0060 Z=F048 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F048 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F04A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F04A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F04A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F04A | brne     $00DA
000DA | X=0062 Y=0060 Z=F04A | st       Z, r1
000DC | X=0062 Y=0060 Z=F04A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F04A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F04C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F04C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F04C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F04C | brne     $00DA
000DA | X=0062 Y=0060 Z=F04C | st       Z, r1
000DC | X=0062 Y=0060 Z=F04C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F04C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F04E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F04E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F04E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F04E | brne     $00DA
000DA | X=0062 Y=0060 Z=F04E | st       Z, r1
000DC | X=0062 Y=0060 Z=F04E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F04E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F050 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F050 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F050 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F050 | brne     $00DA
000DA | X=0062 Y=0060 Z=F050 | st       Z, r1
000DC | X=0062 Y=0060 Z=F050 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F050 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F052 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F052 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F052 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F052 | brne     $00DA
